client_id;dt;total_add_count;total_click_count;total_view_count
544703208;21.06.2024;8;8;4
544558568;21.06.2024;8;4;0
543842379;21.06.2024;8;3;0
540516720;21.06.2024;8;1;6
540082276;21.06.2024;8;0;0
533893266;21.06.2024;8;2;2
524373983;21.06.2024;8;3;0
147190982;21.06.2024;8;0;0
72985100;21.06.2024;8;1;0
72774064;21.06.2024;8;0;0
71910550;21.06.2024;8;1;0
71548987;21.06.2024;8;2;0
71468482;21.06.2024;8;1;1
71428136;21.06.2024;8;0;1
71369663;21.06.2024;8;8;2
71221883;21.06.2024;8;4;1
69762166;21.06.2024;8;1;0
69620882;21.06.2024;8;2;0
67645648;21.06.2024;8;13;5
58340461;21.06.2024;8;1;0
55246329;21.06.2024;8;0;0
37782031;21.06.2024;8;3;2
34212711;21.06.2024;8;1;3
27813724;21.06.2024;8;1;3
16733552;21.06.2024;8;1;0
16180615;21.06.2024;8;2;1
14647943;21.06.2024;8;0;1
14587387;21.06.2024;8;0;0
14411298;21.06.2024;8;5;2
12436747;21.06.2024;8;2;2
12012537;21.06.2024;8;1;1
11814749;21.06.2024;8;3;5
10677116;21.06.2024;8;2;2
10526227;21.06.2024;8;3;2
8964199;21.06.2024;8;1;0
8868588;21.06.2024;8;8;12
8463522;21.06.2024;8;1;0
8447239;21.06.2024;8;1;0
8422730;21.06.2024;8;13;4
8347233;21.06.2024;8;0;0
8121275;21.06.2024;8;3;1
7828187;21.06.2024;8;2;2
7576237;21.06.2024;8;2;0
7436699;21.06.2024;8;8;4
7342908;21.06.2024;8;3;5
6594084;21.06.2024;8;4;1
6380871;21.06.2024;8;0;0
6144188;21.06.2024;8;12;1
5957544;21.06.2024;8;2;0
5846157;21.06.2024;8;0;4
5533931;21.06.2024;8;5;0
4902139;21.06.2024;8;2;1
4872974;21.06.2024;8;2;1
4713645;21.06.2024;8;1;0
4351941;21.06.2024;8;0;2
4296171;21.06.2024;8;2;0
4225000;21.06.2024;8;4;4
4034890;21.06.2024;8;2;9
3402587;21.06.2024;8;1;5
2914970;21.06.2024;8;1;0
2701386;21.06.2024;8;0;3
2283456;21.06.2024;8;0;5
2170102;21.06.2024;8;3;0
1294040;21.06.2024;8;2;1
1259188;21.06.2024;8;3;0
1202631;21.06.2024;8;5;0
1005963;21.06.2024;8;3;1
827753;21.06.2024;8;2;2
778815;21.06.2024;8;7;5
639901;21.06.2024;8;1;0
588974;21.06.2024;8;1;0
536401;21.06.2024;8;1;4
423509;21.06.2024;8;2;0
365088;21.06.2024;8;1;3
315909;21.06.2024;8;0;2
312808;21.06.2024;8;4;0
291966;21.06.2024;8;4;7
255339;21.06.2024;8;0;1
175768;21.06.2024;8;0;0
85199;21.06.2024;8;0;2
32570;21.06.2024;8;2;1
924312557;20.06.2024;8;2;5
710750572;20.06.2024;8;2;6
682472952;20.06.2024;8;1;2
682281884;20.06.2024;8;3;1
681461023;20.06.2024;8;1;6
675367702;20.06.2024;8;2;9
544369640;20.06.2024;8;2;4
543300837;20.06.2024;8;2;7
182454423;20.06.2024;8;2;6
72505393;20.06.2024;8;1;2
71954410;20.06.2024;8;2;0
71639198;20.06.2024;8;2;2
69486705;20.06.2024;8;3;3
67095443;20.06.2024;8;4;4
66647110;20.06.2024;8;7;6
52189865;20.06.2024;8;7;3
33578834;20.06.2024;8;1;10
13400761;20.06.2024;8;0;4
12427322;20.06.2024;8;6;3
11125530;20.06.2024;8;2;5
11125518;20.06.2024;8;2;3
7519831;20.06.2024;8;6;11
7414471;20.06.2024;8;5;14
7174126;20.06.2024;8;7;3
6996502;20.06.2024;8;0;4
6585475;20.06.2024;8;1;11
6547604;20.06.2024;8;1;5
5603734;20.06.2024;8;1;7
3780758;20.06.2024;8;2;6
3644904;20.06.2024;8;0;9
1807456;20.06.2024;8;1;1
933332;20.06.2024;8;2;9
762141;20.06.2024;8;3;7
730287;20.06.2024;8;0;6
540033;20.06.2024;8;3;7
438566;20.06.2024;8;2;4
940771546;19.06.2024;8;6;4
919433797;19.06.2024;8;0;5
897584208;19.06.2024;8;0;2
889498988;19.06.2024;8;2;8
888775548;19.06.2024;8;1;1
885144384;19.06.2024;8;0;1
857169799;19.06.2024;8;1;1
839852310;19.06.2024;8;2;4
826370775;19.06.2024;8;1;1
816253785;19.06.2024;8;1;0
816241984;19.06.2024;8;0;1
814212959;19.06.2024;8;3;2
713032825;19.06.2024;8;3;1
688286711;19.06.2024;8;1;2
687223990;19.06.2024;8;1;2
687078809;19.06.2024;8;2;0
681819805;19.06.2024;8;2;5
679268187;19.06.2024;8;2;1
678863803;19.06.2024;8;2;3
676819929;19.06.2024;8;1;4
676795744;19.06.2024;8;3;5
676735495;19.06.2024;8;1;1
675734115;19.06.2024;8;1;1
673815162;19.06.2024;8;2;1
672712891;19.06.2024;8;0;2
670383350;19.06.2024;8;2;3
668755343;19.06.2024;8;1;2
541137329;19.06.2024;8;1;2
531782305;19.06.2024;8;0;2
518113381;19.06.2024;8;1;3
76917535;19.06.2024;8;2;4
72884807;19.06.2024;8;1;1
71090318;19.06.2024;8;1;4
70479669;19.06.2024;8;0;5
70353219;19.06.2024;8;3;2
69012871;19.06.2024;8;0;5
68367396;19.06.2024;8;0;4
67764206;19.06.2024;8;2;7
67717227;19.06.2024;8;2;0
66816840;19.06.2024;8;1;2
21467651;19.06.2024;8;0;0
21118665;19.06.2024;8;0;2
15901399;19.06.2024;8;0;2
14735149;19.06.2024;8;2;1
14732427;19.06.2024;8;4;2
14132266;19.06.2024;8;1;2
12530002;19.06.2024;8;1;4
11367016;19.06.2024;8;2;3
10902217;19.06.2024;8;0;3
9115903;19.06.2024;8;0;1
8836826;19.06.2024;8;2;4
8769135;19.06.2024;8;1;2
8556361;19.06.2024;8;4;7
7943688;19.06.2024;8;3;3
7507173;19.06.2024;8;1;5
7246935;19.06.2024;8;1;3
7213900;19.06.2024;8;1;7
7206205;19.06.2024;8;3;0
7064592;19.06.2024;8;2;2
6854884;19.06.2024;8;7;5
6808256;19.06.2024;8;0;3
6784235;19.06.2024;8;1;10
6778552;19.06.2024;8;1;6
5249527;19.06.2024;8;1;1
5186850;19.06.2024;8;3;3
4764290;19.06.2024;8;1;4
4017536;19.06.2024;8;1;2
3405074;19.06.2024;8;1;6
3366469;19.06.2024;8;1;4
3327706;19.06.2024;8;1;0
3072221;19.06.2024;8;3;3
2487747;19.06.2024;8;1;1
1959573;19.06.2024;8;2;3
1843121;19.06.2024;8;1;3
1113287;19.06.2024;8;1;7
1076876;19.06.2024;8;2;1
925316;19.06.2024;8;1;0
596521;19.06.2024;8;0;2
522607;19.06.2024;8;1;4
484930;19.06.2024;8;0;1
436879;19.06.2024;8;2;4
322049;19.06.2024;8;3;3
305195;19.06.2024;8;0;3
27337;19.06.2024;8;1;3
10511;19.06.2024;8;5;1
957738205;21.06.2024;7;1;0
956466623;21.06.2024;7;20;6
952664110;21.06.2024;7;6;4
952512518;21.06.2024;7;0;0
951159684;21.06.2024;7;1;0
942189649;21.06.2024;7;2;0
938422731;21.06.2024;7;5;9
931136136;21.06.2024;7;3;0
925674925;21.06.2024;7;6;4
913126377;21.06.2024;7;0;0
884379609;21.06.2024;7;0;0
873444423;21.06.2024;7;4;1
848898401;21.06.2024;7;3;6
842301583;21.06.2024;7;1;0
834146437;21.06.2024;7;3;0
834087449;21.06.2024;7;1;0
831960736;21.06.2024;7;0;0
828150929;21.06.2024;7;3;0
819862481;21.06.2024;7;2;1
812698578;21.06.2024;7;2;2
810680594;21.06.2024;7;0;0
744987773;21.06.2024;7;1;0
736837512;21.06.2024;7;0;3
733319545;21.06.2024;7;0;0
729885932;21.06.2024;7;2;3
720452184;21.06.2024;7;1;2
